Date,Product,Category,Region,Sales,Discount,Profit,Quantity,Customer ID,Customer Name
01/01/2023 00:00,Laptop,Electronics,South,7088.7,-18.41,12812.20609,24,baa8b7ef,Andrew Allen
02/01/2023 00:00,Smartphone,Electronics,North,177.05,10.42,158.6,2,baa8b7ef,Nancy Roberson
03/01/2023 00:00,Monitor,Electronics,East,117.18,12.33,102.73,2,bc22c376,Heather Odonnell
04/01/2023 00:00,Laptop,Electronics,south,262.82,3.13,254.59,3,c9ecc47e,Allen Martinez
05/01/2023 00:00,Tablet,Electronics,West,257.2,0.87,254.96,3,db37a4eb,Amy Bray
06/01/2023 00:00,Monitor,Electronics,South,99.22,2.22,97.02,1,db60bbd2,Misty Taylor
07/01/2023 00:00,Monitor,Electronics,North,171.87,11.97,151.3,3,1141477b,Thomas Henderson
01/08/2023,Tablet,Electronics,North,169.92,1.9,166.69,6,,Dr. Tracy Michael
09/01/2023 00:00,Tablet,Electronics,South,281.97,7.52,260.77,24,74c9739b,Timothy Mason
10/01/2023 00:00,Monitor,Electronics,West,195.04,11,173.59,6,9fd35063,Sandra Murray
11/01/2023 00:00,Tablet,Electronics,West,3756.3,7.77,3464.44,5,8470fda6,Matthew Salinas
01/12/2023,Smartphone,Electronics,west,244.11,3.27,236.13,4,559124f2,Tyler Hawkins
13/01/2023 00:00,Smartphone,Electronics,North,138.46,5.48,130.87,3,9ae436b3,Jessica Sanchez
14/01/2023 00:00,Smartphone,Electronics,South,186.98,18.57,152.26,4,9ae436b3,Vanessa Norton
15/01/2023 00:00,Monitor,Electronics,East,161.51,13.52,139.67,7,,Alexis Jones
01-16-2023,Tablet,Electronics,North,171.98,-9.92,189.04,1,34ca16a6,Darius Choi
17/01/2023 00:00,Tablet,Electronics,West,246.86,0.25,246.24,21,b5f6c10f,Marie Snyder DVM
18/01/2023 00:00,Laptop,Electronics,South,276.07,19.85,221.27,1,ea6c686d,Paul Phillips
19/01/2023 00:00,Laptop,Electronics,west,136.28,13.43,117.98,2,583f47bf,Tyler Bradford
20/01/2023 00:00,Tablet,Electronics,East,231.3,6.34,216.64,4,92b8ccc9,Robert Swanson
21/01/2023 00:00,Tablet,Electronics,West,4900.8,17.59,6164.755998,1,5d711716,Vincent Stewart
22/01/2023 00:00,Tablet,Electronics,West,164.92,5.17,156.39,9,,Jennifer Saunders
01-23-2023,Monitor,Electronics,East,224.53,10.88,200.1,6,b280c732,Preston Gibbs
24/01/2023 00:00,Tablet,Electronics,South,148.6,12.72,129.7,1,86ba37d1,Katie Ward
25/01/2023 00:00,Laptop,Electronics,North,223.53,4.42,213.65,3,42378e6e,Suzanne Dunn
26/01/2023 00:00,Monitor,Electronics,South,236.51,19.57,190.22,6,42378e6e,Shannon Patterson
27/01/2023 00:00,Tablet,Electronics,east,178.37,14.96,151.69,4,4950111c,Ronald Richards
28/01/2023 00:00,Laptop,Electronics,West,266.35,11.16,236.63,4,1bbfe32f,Yvonne Smith
29/01/2023 00:00,Monitor,Electronics,South,136.36,3.61,131.44,6,,Alexandra Perez
30/01/2023 00:00,Tablet,Electronics,North,267.27,1.08,264.38,7,a94e365d,Barbara Manning
31/01/2023 00:00,Tablet,Electronics,East,3084,-6.4,3281.38,9,ed3c7ee6,Jeffrey Taylor
01/02/2023 00:00,Tablet,Electronics,South,334.99,15.06,284.54,5,c1fd1af8,Jessica Solis
02/02/2023 00:00,Monitor,Electronics,North,179.69,5.39,170,27,8f9f7f1a,Gabriella Johnson
03/02/2023 00:00,Laptop,Electronics,east,141.88,10.79,126.57,4,fea30382,Margaret Mckinney
04/02/2023 00:00,Laptop,Electronics,North,188.37,14.56,160.94,2,9c6c2743,Melissa Lopez
05/02/2023 00:00,Smartphone,Electronics,East,147.68,2.16,144.49,3,,Nicholas Smith
06/02/2023 00:00,Tablet,Electronics,West,219.35,13.71,189.28,1,f6603e8a,Victoria Boyle
07/02/2023 00:00,Smartphone,Electronics,South,268.38,1.84,263.44,6,f6603e8a,Stephen Anderson
08/02/2023 00:00,Smartphone,Electronics,north,150.33,19.3,121.32,6,13dd5a33,Maria Mendez
09/02/2023 00:00,Laptop,Electronics,East,228.97,9.77,206.6,1,11467d01,Tanner Day
10/02/2023 00:00,Monitor,Electronics,North,3700.8,3.01,5478.882532,9,4d20e78c,Kristen Collins
11/02/2023 00:00,Monitor,Electronics,North,251.65,6.85,234.41,5,988b56fd,Angela Martinez
12/02/2023 00:00,Laptop,Electronics,South,220.81,8.27,202.55,3,,Sarah Cohen
13/02/2023 00:00,Monitor,Electronics,West,253.81,15.16,215.33,3,63b4e5ab,Connor Anderson
14/02/2023 00:00,Smartphone,Electronics,North,193.88,14.87,165.05,3,d522e506,Gregory Douglas
02-15-2023,Tablet,Electronics,east,178.24,-12.24,200.06,5,d539af60,Scott Munoz
