Ticket ID,Date Opened,Date Closed,Issue Type,Priority,Resolution Time (Hours),Customer Satisfaction (1-5),Agent Name,Customer ID,Customer Name
TKT000,2023-01-01 00:00:00,2023-01-15,Software,Low,35.48,1.0,Kevin Johnson,b0c5db08,Cathy Torres
TKT0002,2023-01-02 00:00:00,2023-01-05,Network,Low,42.73,4.0,William Miller,b0c5db08,Timothy Perkins
TKT0003,2023-01-03 00:00:00,2023-01-09,Other,Medium,59.35,3.0,William Miller,a49317c5,William Young
TKT0004,2023-01-04 00:00:00,2023-01-14,Hardware,Low,42.76,1.0,Kevin Johnson,66c04953,Michelle Lee
TKT0005,01-05-2023,2023-01-06,Network,Medium,56.96,1.0,William Miller,cc5fa8f6,William Smith
TKT0006,2023-01-06 00:00:00,2023-01-07,Account,Urgent,56.17,2.0,Ashley Roberts,a9829a1f,Michael Kelley
TKT0007,2023-01-07 00:00:00,2023-01-11,Network,Low,43.38,2.0,Paula Kennedy,8d63f5aa,Michael Short
TKT0008,2023-01-08 00:00:00,2023-01-09,Network,High,34.9,2.0,Danielle Robinson,5468b7c6,Heather James
TKT0009,2023-01-09 00:00:00,,Hardware,Low,,,Shawn Dixon,,Brian Rodriguez
TKT0010,2023-01-10 00:00:00,2023-01-22,Network,Medium,32.75,4.0,Shawn Dixon,e6c678be,Mary Nelson
TKT0011,2023-01-11 00:00:00,,Hardware,Low,,,Ashley Morgan,a266cd2d,Melissa Leblanc
TKT0012,2023-01-12 00:00:00,2023-01-23,Network,Low,29.24,2.0,William Miller,295b4733,Alexander Hernandez
TKT0013,2023-01-13 00:00:00,2023-01-16,Other,Low,56.4,5.0,Danielle Robinson,cad40d96,John Melendez
TKT0014,2023-01-14 00:00:00,2023-01-16,Software,Medium,47.16,4.0,Ashley Roberts,4b1d8564,Brittany Morgan
TKT0015,2023-01-15 00:00:00,2023-01-20,Other,High,49.41,4.0,Ashley Roberts,c19d8413,Raymond Lyons
TKT0016,2023-01-16 00:00:00,2023-01-23,Hardware,Urgent,50.72,2.0,Joshua Avila,5b7dc85b,Joshua Frank
TKT0017,2023-01-17 00:00:00,2023-01-20,Hardware,Medium,54.84,3.0,Ashley Morgan,,Debra Trujillo
TKT0018,2023-01-18 00:00:00,2023-02-01,Software,Low,52.72,2.0,Danielle Robinson,c2d29ed1,Ian Sanders
TKT0019,2023-01-19 00:00:00,2023-01-29,Account,Low,51.26,1.0,William Miller,edfde14e,Claudia Thompson
TKT0020,2023-01-20 00:00:00,2023-02-02,Other,Low,53.92,2.0,Eric Stephens,30fa13c0,Matthew Keller
TKT0021,01-21-2023,2023-01-28,Hardware,Urgent,49.92,1.0,Ashley Morgan,91b70dc3,Aaron Scott
TKT0022,2023-01-22 00:00:00,,Hardware,Urgent,,,William Miller,2e391f59,Ann Sanchez
TKT0023,2023-01-23 00:00:00,,Other,High,,,Eric Stephens,903ee50c,Stephanie Miller
TKT0024,2023-01-24 00:00:00,,Hardware,Medium,,,Ashley Morgan,9c8d0cd2,Matthew Jones
TKT0025,2023-01-25 00:00:00,,Account,Medium,,,Ashley Morgan,,Debra Moore
TKT0026,2023-01-26 00:00:00,,Account,Medium,,,Ashley Morgan,111b3869,Stephanie Diaz
TKT0027,2023-01-27 00:00:00,2023-02-08,Network,Low,54.2,2.0,Ashley Roberts,111b3869,Amy Leonard
TKT0028,2023-01-28 00:00:00,,Account,High,,,Kevin Johnson,e6bd5e49,Gregory Ryan
TKT0029,2023-01-29 00:00:00,2023-02-02,Hardware,High,39.94,3.0,Shawn Dixon,be099151,Phillip Jones
TKT0030,2023-01-30 00:00:00,2023-02-13,Software,Low,21.45,4.0,Shawn Dixon,e94ed877,Ronald Long
TKT0031,2023-01-31 00:00:00,2023-02-09,Software,Urgent,34.02,5.0,Kevin Johnson,1ba2f103,Ruben Hoover
TKT0032,2023-02-01 00:00:00,,Other,High,,,William Miller,349d12c0,Melanie Phillips
TKT0033,2023-02-02 00:00:00,2023-02-08,Network,High,30.87,3.0,Daniel Taylor,,Brandon Barber
TKT0034,2023-02-03 00:00:00,2023-02-06,Network,Low,65.33,5.0,Eric Stephens,9ddc3dde,Suzanne Aguirre
TKT0035,2023-02-04 00:00:00,2023-02-13,Hardware,High,53.76,5.0,Kevin Johnson,493e1478,Annette Cooke
TKT0036,2023-02-05 00:00:00,2023-02-15,Network,Urgent,39.18,3.0,Paula Kennedy,511ec4e3,Larry Callahan
TKT0037,2023-02-06 00:00:00,2023-02-14,Software,Urgent,55.99,3.0,Daniel Taylor,d61f1982,Angela Malone
TKT0038,2023-02-07 00:00:00,,Other,Low,,,Paula Kennedy,000dab55,Anthony Duncan
TKT0039,2023-02-08 00:00:00,2023-02-13,Software,Medium,57.94,1.0,Kevin Johnson,073bf48e,Brooke Arnold
TKT0040,2023-02-09 00:00:00,2023-02-16,Other,High,55.42,5.0,Joshua Avila,d00f2050,Jeffrey Hendrix
